run_group,subset,instances,table,first_method,second_method,paired_window_sizes,first_mean_rmse,first_median_rmse,second_mean_rmse,change_of_mean_rmse_pct,wins,ties,losses,wilcoxon_p,holm_p,cliff_delta
8,5%,602,consist_strat_vs_baseline,Consist-Strat,Diff-Strat,6,0.036806,,0.039595,-7.05,6,0,0,0.0312,0.1562,1.000
8,5%,602,consist_strat_vs_baseline,Consist-Strat,Repo-Strat,6,0.036806,,0.061574,-40.23,6,0,0,0.0312,0.1562,1.000
8,5%,602,consist_strat_vs_baseline,Consist-Strat,Repo×Diff,6,0.036806,,0.127629,-71.16,6,0,0,0.0312,0.1562,1.000
8,5%,602,consist_strat_vs_baseline,Consist-Strat,Repo×Consist,6,0.036806,,0.148132,-75.15,6,0,0,0.0312,0.1562,1.000
8,5%,602,centroid_pooled_vs_consist_strat,Centroid Pooled,Consist-Strat,6,0.045374,,0.036806,23.28,4,0,2,1.0000,1.0000,0.333
8,5%,602,centroid_pooled_vs_random,Centroid Pooled,Random,7,0.045796,,0.072924,-37.20,6,0,1,0.0312,0.1562,0.714
8,10%,602,baseline_rmse,Random,,7,0.050547,0.050894,,,,,,,,
8,10%,602,baseline_rmse,Diff-Strat,,7,0.027808,0.027356,,,,,,,,
8,10%,602,baseline_rmse,Consist-Strat,,6,0.025214,0.024647,,,,,,,,
8,10%,602,baseline_rmse,Repo-Strat,,7,0.058892,0.058809,,,,,,,,
8,10%,602,baseline_rmse,Repo×Diff,,7,0.058904,0.060000,,,,,,,,
8,10%,602,baseline_rmse,Repo×Consist,,6,0.031758,0.031952,,,,,,,,
8,10%,602,consist_strat_vs_baseline,Consist-Strat,Random,6,0.025214,,0.050142,-49.72,6,0,0,0.0312,0.1562,1.000
8,10%,602,consist_strat_vs_baseline,Consist-Strat,Diff-Strat,6,0.025214,,0.027020,-6.69,6,0,0,0.0312,0.1562,1.000
8,10%,602,consist_strat_vs_baseline,Consist-Strat,Repo-Strat,6,0.025214,,0.058867,-57.17,6,0,0,0.0312,0.1562,1.000
8,10%,602,consist_strat_vs_baseline,Consist-Strat,Repo×Diff,6,0.025214,,0.057903,-56.46,6,0,0,0.0312,0.1562,1.000
